file,method,erro_pre_drift,recovery_time
linear_linear3_arp_gradual_02.csv,FEDD+ELM,845972.2301875424,16.0
linear_linear3_arp_gradual_03.csv,Chronos-Bolt Base,0.0,16.0
linear_linear3_arp_gradual_03.csv,FEDD+ELM,616220.3983850842,16.0
linear_linear3_arp_gradual_04.csv,Chronos-Bolt Base,0.0,16.0
linear_linear3_arp_gradual_04.csv,FEDD+ELM,883897.4438957525,16.0
linear_linear3_arp_gradual_05.csv,Chronos-Bolt Base,0.0,16.0
linear_linear3_arp_gradual_05.csv,FEDD+ELM,528084.1134324662,16.0
linear_linear3_arp_gradual_06.csv,Chronos-Bolt Base,0.0,16.0
linear_linear3_arp_gradual_06.csv,FEDD+ELM,918237.593501323,16.0
linear_linear3_arp_gradual_07.csv,Chronos-Bolt Base,0.0,16.0
linear_linear3_arp_gradual_07.csv,FEDD+ELM,969623.360696124,16.0
linear_linear3_arp_gradual_08.csv,Chronos-Bolt Base,0.0,16.0
linear_linear3_arp_gradual_08.csv,FEDD+ELM,1848530.1574014986,16.0
linear_linear3_arp_gradual_09.csv,Chronos-Bolt Base,0.0,16.0
linear_linear3_arp_gradual_09.csv,FEDD+ELM,2669376.480144325,16.0
linear_linear3_arp_gradual_10.csv,Chronos-Bolt Base,0.0,16.0
linear_linear3_arp_gradual_10.csv,FEDD+ELM,990093.6191592067,16.0
linear_linear3_arp_gradual_11.csv,Chronos-Bolt Base,0.0,16.0
linear_linear3_arp_gradual_11.csv,FEDD+ELM,2895501.0100166374,16.0
linear_linear3_arp_gradual_12.csv,Chronos-Bolt Base,0.0,16.0
linear_linear3_arp_gradual_12.csv,FEDD+ELM,1663531.6334645953,16.0
linear_linear3_arp_gradual_13.csv,Chronos-Bolt Base,0.0,16.0
linear_linear3_arp_gradual_13.csv,FEDD+ELM,143524.06401577775,16.0
linear_linear3_arp_gradual_14.csv,Chronos-Bolt Base,0.0,16.0
linear_linear3_arp_gradual_14.csv,FEDD+ELM,599675.674019943,16.0
linear_linear3_arp_gradual_15.csv,Chronos-Bolt Base,0.0,16.0
linear_linear3_arp_gradual_15.csv,FEDD+ELM,927975.1855614131,16.0
linear_linear3_arp_gradual_16.csv,Chronos-Bolt Base,0.0,16.0
linear_linear3_arp_gradual_16.csv,FEDD+ELM,1479794.655957329,16.0
linear_linear3_arp_gradual_17.csv,Chronos-Bolt Base,0.0,16.0
linear_linear3_arp_gradual_17.csv,FEDD+ELM,3038287.203469608,16.0
linear_linear3_arp_gradual_18.csv,Chronos-Bolt Base,0.0,16.0
linear_linear3_arp_gradual_18.csv,FEDD+ELM,1157071.8311191732,16.0
linear_linear3_arp_gradual_19.csv,Chronos-Bolt Base,0.0,16.0
linear_linear3_arp_gradual_19.csv,FEDD+ELM,98164.05024131831,16.0
linear_linear3_arp_gradual_20.csv,Chronos-Bolt Base,0.0,16.0
linear_linear3_arp_gradual_20.csv,FEDD+ELM,681183.859686763,16.0
nonlinear_nonlinear1_nma_abrupt_01.csv,Chronos-Bolt Base,1.8721303462135155,184.0
nonlinear_nonlinear1_nma_abrupt_01.csv,FEDD+ELM,2.0551755286776086,112.0
nonlinear_nonlinear1_nma_abrupt_02.csv,Chronos-Bolt Base,1.90736904916501,88.0
nonlinear_nonlinear1_nma_abrupt_02.csv,FEDD+ELM,2.067561838777261,136.0
nonlinear_nonlinear1_nma_abrupt_03.csv,Chronos-Bolt Base,1.7885584078498133,112.0
nonlinear_nonlinear1_nma_abrupt_03.csv,FEDD+ELM,1.8883397709754963,232.0
nonlinear_nonlinear1_nma_abrupt_04.csv,Chronos-Bolt Base,1.808271742870346,184.0
nonlinear_nonlinear1_nma_abrupt_04.csv,FEDD+ELM,1.9866999031132933,64.0
nonlinear_nonlinear1_nma_abrupt_05.csv,Chronos-Bolt Base,1.8785459437161767,16.0
nonlinear_nonlinear1_nma_abrupt_05.csv,FEDD+ELM,2.0653739005319984,40.0
nonlinear_nonlinear1_nma_abrupt_06.csv,Chronos-Bolt Base,1.905422416808089,16.0
nonlinear_nonlinear1_nma_abrupt_06.csv,FEDD+ELM,2.140586437741819,328.0
nonlinear_nonlinear1_nma_abrupt_07.csv,Chronos-Bolt Base,1.774706199539986,184.0
nonlinear_nonlinear1_nma_abrupt_07.csv,FEDD+ELM,1.851093335293771,256.0
nonlinear_nonlinear1_nma_abrupt_08.csv,Chronos-Bolt Base,1.7447867110867425,160.0
nonlinear_nonlinear1_nma_abrupt_08.csv,FEDD+ELM,1.9203843321535012,88.0
nonlinear_nonlinear1_nma_abrupt_09.csv,Chronos-Bolt Base,1.916649797531198,16.0
nonlinear_nonlinear1_nma_abrupt_09.csv,FEDD+ELM,2.037634716056785,112.0
nonlinear_nonlinear1_nma_abrupt_10.csv,Chronos-Bolt Base,1.8582812780261941,88.0
nonlinear_nonlinear1_nma_abrupt_10.csv,FEDD+ELM,1.9610675695070336,88.0
nonlinear_nonlinear1_nma_abrupt_11.csv,Chronos-Bolt Base,1.8669040281384057,16.0
nonlinear_nonlinear1_nma_abrupt_11.csv,FEDD+ELM,1.9765278128361967,16.0
nonlinear_nonlinear1_nma_abrupt_12.csv,Chronos-Bolt Base,1.7982561376847812,40.0
nonlinear_nonlinear1_nma_abrupt_12.csv,FEDD+ELM,2.0077723507220915,40.0
nonlinear_nonlinear1_nma_abrupt_13.csv,Chronos-Bolt Base,1.7918882697488097,400.0
nonlinear_nonlinear1_nma_abrupt_13.csv,FEDD+ELM,1.940269342336426,232.0
nonlinear_nonlinear1_nma_abrupt_14.csv,Chronos-Bolt Base,1.8344945710967384,112.0
nonlinear_nonlinear1_nma_abrupt_14.csv,FEDD+ELM,2.0165946914351247,112.0
nonlinear_nonlinear1_nma_abrupt_15.csv,Chronos-Bolt Base,1.7390463447993658,64.0
nonlinear_nonlinear1_nma_abrupt_15.csv,FEDD+ELM,1.8223125780163507,160.0
nonlinear_nonlinear1_nma_abrupt_16.csv,Chronos-Bolt Base,1.8440494128392957,16.0
nonlinear_nonlinear1_nma_abrupt_16.csv,FEDD+ELM,1.9974664639193396,16.0
nonlinear_nonlinear1_nma_abrupt_17.csv,Chronos-Bolt Base,1.8273004207290693,400.0
nonlinear_nonlinear1_nma_abrupt_17.csv,FEDD+ELM,1.9295402748800037,424.0
nonlinear_nonlinear1_nma_abrupt_18.csv,Chronos-Bolt Base,1.7808872376178104,88.0
nonlinear_nonlinear1_nma_abrupt_18.csv,FEDD+ELM,1.9642105495847224,88.0
nonlinear_nonlinear1_nma_abrupt_19.csv,Chronos-Bolt Base,1.7833616832461738,352.0
nonlinear_nonlinear1_nma_abrupt_19.csv,FEDD+ELM,2.07991915404325,352.0
nonlinear_nonlinear1_nma_abrupt_20.csv,Chronos-Bolt Base,1.8748671622575404,64.0
nonlinear_nonlinear1_nma_abrupt_20.csv,FEDD+ELM,2.07872600103573,64.0
nonlinear_nonlinear1_nma_gradual_01.csv,Chronos-Bolt Base,1.8624534945896047,16.0
nonlinear_nonlinear1_nma_gradual_01.csv,FEDD+ELM,2.0129121700417882,16.0
nonlinear_nonlinear1_nma_gradual_02.csv,Chronos-Bolt Base,1.9358986931452826,16.0
nonlinear_nonlinear1_nma_gradual_02.csv,FEDD+ELM,2.1723667048205924,16.0
nonlinear_nonlinear1_nma_gradual_03.csv,Chronos-Bolt Base,1.7785294648648118,40.0
nonlinear_nonlinear1_nma_gradual_03.csv,FEDD+ELM,1.941845589482582,16.0
nonlinear_nonlinear1_nma_gradual_04.csv,Chronos-Bolt Base,1.7747283079573268,16.0
nonlinear_nonlinear1_nma_gradual_04.csv,FEDD+ELM,1.92686833423976,16.0
nonlinear_nonlinear1_nma_gradual_05.csv,Chronos-Bolt Base,1.8876864557264144,16.0
nonlinear_nonlinear1_nma_gradual_05.csv,FEDD+ELM,2.007896131085,16.0
nonlinear_nonlinear1_nma_gradual_06.csv,Chronos-Bolt Base,1.7595739796875507,40.0
nonlinear_nonlinear1_nma_gradual_06.csv,FEDD+ELM,1.9528400117564677,40.0
nonlinear_nonlinear1_nma_gradual_07.csv,Chronos-Bolt Base,1.769549842608807,16.0
nonlinear_nonlinear1_nma_gradual_07.csv,FEDD+ELM,1.9531297453467134,16.0
nonlinear_nonlinear1_nma_gradual_08.csv,Chronos-Bolt Base,1.8727291143092895,16.0
nonlinear_nonlinear1_nma_gradual_08.csv,FEDD+ELM,1.990761921679784,16.0
nonlinear_nonlinear1_nma_gradual_09.csv,Chronos-Bolt Base,1.8657356204309046,16.0
nonlinear_nonlinear1_nma_gradual_09.csv,FEDD+ELM,1.9942041783760343,16.0
nonlinear_nonlinear1_nma_gradual_10.csv,Chronos-Bolt Base,1.8283971298432324,16.0
nonlinear_nonlinear1_nma_gradual_10.csv,FEDD+ELM,1.9602434824346553,16.0
nonlinear_nonlinear1_nma_gradual_11.csv,Chronos-Bolt Base,1.873683612117277,16.0
nonlinear_nonlinear1_nma_gradual_11.csv,FEDD+ELM,2.0884227763489696,16.0
nonlinear_nonlinear1_nma_gradual_12.csv,Chronos-Bolt Base,1.8582545650117055,16.0
nonlinear_nonlinear1_nma_gradual_12.csv,FEDD+ELM,1.982310829160573,40.0
nonlinear_nonlinear1_nma_gradual_13.csv,Chronos-Bolt Base,1.8502577130056477,40.0
nonlinear_nonlinear1_nma_gradual_13.csv,FEDD+ELM,1.9723808947919634,40.0
nonlinear_nonlinear1_nma_gradual_14.csv,Chronos-Bolt Base,1.7534524773487978,40.0
nonlinear_nonlinear1_nma_gradual_14.csv,FEDD+ELM,1.865457468194817,40.0
nonlinear_nonlinear1_nma_gradual_15.csv,Chronos-Bolt Base,1.8612707637581098,16.0
nonlinear_nonlinear1_nma_gradual_15.csv,FEDD+ELM,1.938069974852861,16.0
nonlinear_nonlinear1_nma_gradual_16.csv,Chronos-Bolt Base,1.8522863881219505,16.0
nonlinear_nonlinear1_nma_gradual_16.csv,FEDD+ELM,2.0537234595223905,16.0
nonlinear_nonlinear1_nma_gradual_17.csv,Chronos-Bolt Base,1.7591701568659315,16.0
nonlinear_nonlinear1_nma_gradual_17.csv,FEDD+ELM,1.825765334082026,40.0
nonlinear_nonlinear1_nma_gradual_18.csv,Chronos-Bolt Base,1.8272611735058868,64.0
nonlinear_nonlinear1_nma_gradual_18.csv,FEDD+ELM,1.9664901503097318,64.0
nonlinear_nonlinear1_nma_gradual_19.csv,Chronos-Bolt Base,1.771764214627624,40.0
